Day,Open,High,Low,Close,Adj Close,Volume
0,0.265625,0.2723209857940674,0.26004499197006226,0.265625,0.2260783463716507,452312000
1,0.2589290142059326,0.297991007566452,0.2578130066394806,0.2924109995365143,0.2488763928413391,817073600
2,0.3239400088787079,0.33035698533058167,0.3002229928970337,0.3046880066394806,0.2593255043029785,739396000
3,0.30245500802993774,0.31026801466941833,0.28683000802993774,0.2924109995365143,0.2488763928413391,412356000
6,0.30245500802993774,0.30329200625419617,0.2845979928970337,0.295758992433548,0.2517259418964386,373699200
7,0.3002229928970337,0.31501099467277527,0.295758992433548,0.30691999197006226,0.26122522354125977,588929600
8,0.297991007566452,0.3035709857940674,0.28683000802993774,0.295758992433548,0.2517259418964386,580781600
9,0.2901790142059326,0.33035698533058167,0.2901790142059326,0.3214290142059326,0.2735741138458252,803734400
10,0.3191959857940674,0.3214290142059326,0.3046880066394806,0.30691999197006226,0.26122522354125977,423376800
14,0.311383992433548,0.32589301466941833,0.3035709857940674,0.3058040142059326,0.26027536392211914,306118400
15,0.313616007566452,0.313616007566452,0.29464301466941833,0.3002229928970337,0.2555253207683563,840873600
16,0.31808000802993774,0.3348209857940674,0.31473198533058167,0.33370500802993774,0.2840225398540497,1227010400
17,0.3470979928970337,0.34933000802993774,0.33370500802993774,0.3482140004634857,0.29637137055397034,776664000
20,0.3404020071029663,0.3504459857940674,0.329241007566452,0.34375,0.29257190227508545,519327200
21,0.344866007566452,0.373883992433548,0.3404020071029663,0.3660709857940674,0.3115697205066681,879530400
22,0.3683040142059326,0.36941999197006226,0.34933000802993774,0.3660709857940674,0.3115697205066681,717091200
23,0.3671880066394806,0.3671880066394806,0.3526790142059326,0.3560270071029663,0.3030211329460144,489708800
24,0.3482140004634857,0.35379499197006226,0.3404020071029663,0.34933000802993774,0.2973211407661438,482820800
27,0.34933000802993774,0.38839301466941833,0.34933000802993774,0.3872770071029663,0.32961854338645935,855528800
28,0.38504499197006226,0.39285698533058167,0.37276801466941833,0.38839301466941833,0.33056843280792236,692423200
29,0.3839290142059326,0.4017859995365143,0.3828130066394806,0.3861609995365143,0.32866865396499634,730704800
30,0.36941999197006226,0.3839290142059326,0.3660709857940674,0.37723198533058167,0.32106900215148926,369695200
31,0.37723198533058167,0.391741007566452,0.3660709857940674,0.3683040142059326,0.31347033381462097,427341600
34,0.3660709857940674,0.3671880066394806,0.3526790142059326,0.360491007566452,0.3068206310272217,286115200
35,0.3599329888820648,0.381974995136261,0.35714301466941833,0.37723198533058167,0.32106900215148926,462711200
36,0.36886200308799744,0.37276801466941833,0.35379499197006226,0.3705359995365143,0.31537002325057983,393887200
37,0.3671880066394806,0.376116007566452,0.360491007566452,0.3705359995365143,0.31537002325057983,604128000
38,0.3660709857940674,0.3716520071029663,0.33370500802993774,0.34151801466941833,0.2906721830368042,590083200
41,0.3404020071029663,0.35714301466941833,0.3359380066394806,0.3515630066394806,0.2992217242717743,274120000
